stage_ft, flow_cfs	
6.32	,	6507.11	
6.33	,	6524.89	
6.34	,	6542.67	
6.35	,	6560.47	
6.36	,	6578.27	
6.37	,	6596.09	
6.38	,	6613.92	
6.39	,	6631.75	
6.40	,	6649.60	
6.41	,	6667.45	
6.42	,	6685.32	
6.43	,	6703.20	
6.44	,	6721.08	
6.45	,	6738.98	
6.46	,	6756.88	
6.47	,	6774.80	
6.48	,	6792.72	
6.49	,	6810.66	
6.50	,	6828.60	
6.51	,	6846.56	
6.52	,	6864.52	
6.53	,	6882.49	
6.54	,	6900.48	
6.55	,	6918.47	
6.56	,	6936.48	
6.57	,	6954.49	
6.58	,	6972.51	
6.59	,	6990.54	
6.60	,	7008.58	
6.61	,	7026.64	
6.62	,	7044.70	
6.63	,	7062.77	
6.64	,	7080.85	
6.65	,	7098.94	
6.66	,	7117.04	
6.67	,	7135.15	
6.68	,	7153.27	
6.69	,	7171.39	
6.70	,	7189.53	
6.71	,	7207.68	
6.72	,	7225.84	
6.73	,	7244.00	
6.74	,	7262.18	
6.75	,	7280.36	
6.76	,	7298.56	
6.77	,	7316.76	
6.78	,	7334.97	
6.79	,	7353.20	
6.80	,	7371.43	
6.81	,	7389.67	
6.82	,	7407.92	
6.83	,	7426.18	
6.84	,	7444.45	
6.85	,	7462.73	
6.86	,	7481.02	
6.87	,	7499.31	
6.88	,	7517.62	
6.89	,	7535.94	
6.90	,	7554.26	
6.91	,	7572.60	
6.92	,	7590.94	
6.93	,	7609.29	
6.94	,	7627.65	
6.95	,	7646.02	
6.96	,	7664.40	
6.97	,	7682.79	
6.98	,	7701.19	
6.99	,	7719.60	
7.00	,	7738.02	
7.01	,	7756.44	
7.02	,	7774.88	
7.03	,	7793.32	
7.04	,	7811.77	
7.05	,	7830.24	
7.06	,	7848.71	
7.07	,	7867.19	
7.08	,	7885.68	
7.09	,	7904.17	
7.10	,	7922.68	
7.11	,	7941.20	
7.12	,	7959.72	
7.13	,	7978.26	
7.14	,	7996.80	
7.15	,	8015.35	
7.16	,	8033.91	
7.17	,	8052.48	
7.18	,	8071.06	
7.19	,	8089.65	
7.20	,	8108.24	
7.21	,	8126.85	
7.22	,	8145.46	
7.23	,	8164.08	
7.24	,	8182.72	
7.25	,	8201.36	
7.26	,	8220.01	
7.27	,	8238.66	
7.28	,	8257.33	
7.29	,	8276.01	
7.30	,	8294.69	
7.31	,	8313.38	
7.32	,	8332.08	
7.33	,	8350.80	
7.34	,	8369.51	
7.35	,	8388.24	
7.36	,	8406.98	
7.37	,	8425.72	
7.38	,	8444.48	
7.39	,	8463.24	
7.40	,	8482.01	
7.41	,	8500.79	
7.42	,	8519.58	
7.43	,	8538.38	
7.44	,	8557.18	
7.45	,	8576.00	
7.46	,	8594.82	
7.47	,	8613.65	
7.48	,	8632.49	
7.49	,	8651.34	
7.50	,	8670.19	
7.51	,	8689.06	
7.52	,	8707.93	
7.53	,	8726.82	
7.54	,	8745.71	
7.55	,	8764.61	
7.56	,	8783.51	
7.57	,	8802.43	
7.58	,	8821.35	
7.59	,	8840.29	
7.60	,	8859.23	
7.61	,	8878.18	
7.62	,	8897.14	
7.63	,	8916.10	
7.64	,	8935.08	
7.65	,	8954.06	
7.66	,	8973.05	
7.67	,	8992.05	
7.68	,	9011.06	
7.69	,	9030.08	
7.70	,	9049.10	
7.71	,	9068.14	
7.72	,	9087.18	
7.73	,	9106.23	
7.74	,	9125.28	
7.75	,	9144.35	
7.76	,	9163.43	
7.77	,	9182.51	
7.78	,	9201.60	
7.79	,	9220.70	
7.80	,	9239.81	
7.81	,	9258.92	
7.82	,	9278.05	
7.83	,	9297.18	
7.84	,	9316.32	
7.85	,	9335.47	
7.86	,	9354.62	
7.87	,	9373.79	
7.88	,	9392.96	
7.89	,	9412.14	
7.90	,	9431.33	
7.91	,	9450.53	
7.92	,	9469.73	
7.93	,	9488.95	
7.94	,	9508.17	
7.95	,	9527.40	
7.96	,	9546.64	
7.97	,	9565.88	
7.98	,	9585.13	
7.99	,	9604.40	
8.00	,	9623.67	
8.01	,	9642.94	
8.02	,	9662.23	
8.03	,	9681.52	
8.04	,	9700.82	
8.05	,	9720.13	
8.06	,	9739.45	
8.07	,	9758.78	
8.08	,	9778.11	
8.09	,	9797.45	
8.10	,	9816.80	
8.11	,	9836.16	
8.12	,	9855.52	
8.13	,	9874.90	
8.14	,	9894.28	
8.15	,	9913.67	
8.16	,	9933.06	
8.17	,	9952.47	
8.18	,	9971.88	
8.19	,	9991.30	
8.20	,	10010.73	
8.21	,	10030.16	
8.22	,	10049.61	
8.23	,	10069.06	
8.24	,	10088.52	
8.25	,	10107.99	
8.26	,	10127.46	
8.27	,	10146.94	
8.28	,	10166.43	
8.29	,	10185.93	
8.30	,	10205.44	
8.31	,	10224.95	
8.32	,	10244.47	
8.33	,	10264.00	
8.34	,	10283.54	
8.35	,	10303.08	
8.36	,	10322.64	
8.37	,	10342.20	
8.38	,	10361.76	
8.39	,	10381.34	
8.40	,	10400.92	
8.41	,	10420.51	
8.42	,	10440.11	
8.43	,	10459.72	
8.44	,	10479.33	
8.45	,	10498.95	
8.46	,	10518.58	
8.47	,	10538.21	
8.48	,	10557.86	
8.49	,	10577.51	
8.50	,	10597.17	
8.51	,	10616.84	
8.52	,	10636.51	
8.53	,	10656.19	
8.54	,	10675.88	
8.55	,	10695.58	
8.56	,	10715.28	
8.57	,	10734.99	
8.58	,	10754.71	
8.59	,	10774.44	
8.60	,	10794.17	
8.61	,	10813.92	
8.62	,	10833.66	
8.63	,	10853.42	
8.64	,	10873.19	
8.65	,	10892.96	
8.66	,	10912.74	
8.67	,	10932.52	
8.68	,	10952.32	
8.69	,	10972.12	
8.70	,	10991.93	
8.71	,	11011.74	
8.72	,	11031.57	
8.73	,	11051.40	
8.74	,	11071.24	
8.75	,	11091.08	
8.76	,	11110.94	
8.77	,	11130.80	
8.78	,	11150.66	
8.79	,	11170.54	
8.80	,	11190.42	
8.81	,	11210.31	
8.82	,	11230.21	
8.83	,	11250.11	
8.84	,	11270.03	
8.85	,	11289.94	
8.86	,	11309.87	
8.87	,	11329.80	
8.88	,	11349.75	
8.89	,	11369.69	
8.90	,	11389.65	
8.91	,	11409.61	
8.92	,	11429.58	
8.93	,	11449.56	
8.94	,	11469.54	
8.95	,	11489.54	
8.96	,	11509.53	
8.97	,	11529.54	
8.98	,	11549.55	
8.99	,	11569.57	
9.00	,	11589.60	
9.01	,	11609.64	
9.02	,	11629.68	
9.03	,	11649.73	
9.04	,	11669.79	
9.05	,	11689.85	
9.06	,	11709.92	
9.07	,	11730.00	
9.08	,	11750.08	
9.09	,	11770.17	
9.10	,	11790.27	
9.11	,	11810.38	
9.12	,	11830.49	
9.13	,	11850.61	
9.14	,	11870.74	
9.15	,	11890.88	
9.16	,	11911.02	
9.17	,	11931.17	
9.18	,	11951.32	
9.19	,	11971.49	
9.20	,	11991.66	
9.21	,	12011.83	
9.22	,	12032.02	
9.23	,	12052.21	
9.24	,	12072.41	
9.25	,	12092.61	
9.26	,	12112.82	
9.27	,	12133.04	
9.28	,	12153.27	
9.29	,	12173.50	
9.30	,	12193.74	
9.31	,	12213.99	
9.32	,	12234.24	
9.33	,	12254.50	
9.34	,	12274.77	
9.35	,	12295.05	
9.36	,	12315.33	
9.37	,	12335.62	
